Date,Close,High,Low,Open,Volume
2015-01-02,169.68783569335938,170.88556456408185,168.65531949719002,170.47255808561408,121465900
2015-01-05,166.6233367919922,168.8122661140158,166.3177160273211,168.6470660413276,169632600
2015-01-06,165.05398559570312,167.44941915227045,164.26100727264006,166.92902673388645,209151400
2015-01-07,167.11065673828125,167.44932502984875,165.9294644192436,166.3755058100245,125346700
2015-01-08,170.0760955810547,170.29086705779733,168.4984201081495,168.5149312956221,147217800
2015-01-09,168.71319580078125,170.50564292912694,168.1019414964393,170.48911913604712,158567300
2015-01-12,167.39154052734375,169.0022760675028,166.78855452639888,168.84533157044453,144396100
2015-01-13,166.9207000732422,169.72913908899594,165.62385367921945,168.60576096190292,214553300
2015-01-14,165.9129638671875,166.111211515272,164.0213997320499,164.91348263853635,192991100
2015-01-15,164.39312744140625,166.86289849504993,164.2774861138506,166.54902209394717,176613900
2015-01-16,166.54896545410156,166.7059099032591,164.004844509121,164.18656833404498,211879600
2015-01-20,166.9041748046875,167.44934637710867,165.34301083199583,167.18501618298058,130991100
2015-01-21,167.7467498779297,168.22583901130292,165.9790822636024,166.44164760507718,122942700
2015-01-22,170.24130249023438,170.37345500531438,167.12722961914895,168.49841437027467,174356000
2015-01-23,169.307861328125,170.24125991747914,169.17569624213647,169.98518533689273,117516800
2015-01-26,169.704345703125,169.795207625169,168.3827326417059,169.09310423115286,92009700
2015-01-27,167.4658203125,168.60570927446224,166.63980760768064,167.65579970550144,134044600
2015-01-28,165.31825256347656,168.74620170511815,165.12827308965936,168.64708417164115,168514300
2015-01-29,166.84632873535156,167.1023906847634,164.1122158009075,165.5164476333486,173585400
2015-01-30,164.748291015625,166.99504739330268,164.48397340858196,165.67343415017112,197729700
2015-02-02,166.7885284423828,166.87939036836673,163.43491798072392,165.24388830461308,163107000
2015-02-03,169.2004852294922,169.20875342530874,167.30892116918625,167.68062446617702,124212900
2015-02-04,168.55625915527344,169.6466026782071,168.10194935405107,168.44061780623153,134306700
2015-02-05,170.25778198242188,170.40647086465165,169.14267208350574,169.21701022264207,97953200
2015-02-06,169.78697204589844,171.18293601095024,169.26657983067707,170.6212406255758,125672000
2015-02-09,169.0270538330078,169.8613224730138,168.62230290257145,169.14269515542406,87219000
2015-02-10,170.82774353027344,171.08380553916865,169.0683318377307,170.05955750358785,96164200
2015-02-11,170.92684936523438,171.35637961746548,170.01824270561735,170.6625317819855,91087800
2015-02-12,172.5706329345703,172.62845989396322,170.9599101194834,171.719840560346,97545900
2015-02-13,173.281005859375,173.3305646226638,172.43846907159076,172.69454368851316,93670400
2015-02-17,173.5535888671875,173.72705713986363,172.7193202893553,172.9671141018099,76968200
2015-02-18,173.57009887695312,173.64443701478808,172.91754161207228,173.1818717963169,80652900
2015-02-19,173.4461669921875,173.80961464663997,172.83492557693128,172.97534624270514,91462500
2015-02-20,174.4870147705078,174.56135292583096,172.41371378745657,173.0332236230692,140896400
2015-02-23,174.46218872070312,174.46218872070312,173.85919023381086,174.2391617104285,74411100
2015-02-24,174.9578094482422,175.1560571033271,174.090493287688,174.38785846833633,72472300
2015-02-25,174.80914306640625,175.31301152317158,174.4704746962613,174.83392244920137,73061700
2015-02-26,174.60260009765625,174.87518585036773,173.99960164289035,174.71824139238635,72697900
2015-02-27,174.00791931152344,174.7678498363769,173.95836054311377,174.5035195995795,108076000
2015-03-02,175.1064910888672,175.16430544173227,174.05745110558516,174.1070098663145,87491400
2015-03-03,174.3878936767578,175.1560924668457,173.52884553919984,174.67700332329895,110325800
2015-03-04,173.65272521972656,173.86749668575007,172.6862914344985,173.79314592999464,114497200
2015-03-05,173.84271240234375,174.12355381496485,173.3388439366605,173.9748649116038,76873000
2015-03-06,171.397705078125,173.41317890386983,171.06730490510006,172.98364859577046,188128000
2015-03-09,172.10806274414062,172.46324227095045,171.43899425580943,171.5959387365701,89818900
2015-03-10,169.31613159179688,170.82773680839537,169.27482842335175,170.74514307546252,157121300
2015-03-11,168.91964721679688,169.74566016162228,168.83704088073142,169.57219189746775,110145700
2015-03-12,171.0673065185547,171.13337647061587,169.497874171987,169.5474329380123,93993500
2015-03-13,170.0181884765625,171.7528075119878,168.9856726445404,170.7946423988756,162410900
2015-03-16,172.2898406982422,172.38070265752788,170.04308370859778,170.74519999434727,136099200
2015-03-17,171.77767944335938,172.1576383881858,170.96817757941653,171.55465239072544,94510400
2015-03-18,173.84271240234375,174.51178095757123,170.67081270488325,171.30684628378546,228808500
2015-03-19,173.04971313476562,173.85094670509045,172.6614860397028,173.4296846377479,117917300
2015-03-20,174.5772247314453,175.08334236742368,173.81390205525545,173.9964371148031,177715100
2015-03-23,174.2370147705078,175.15798235498923,174.2370147705078,174.5854872808226,71784500
2015-03-24,173.25796508789062,174.56887998481383,173.19158756674477,174.1125550997898,77805300
2015-03-25,170.7190704345703,173.69770310854292,170.67759556201722,173.46538811728843,159521700
2015-03-26,170.31251525878906,171.22517762361446,169.35835270347835,170.0553102954272,153067200
2015-03-27,170.70249938964844,170.87672931710654,170.0055416991604,170.19638183333447,118939000
2015-03-30,172.7850341796875,173.08372670196508,171.71472669332005,171.73131157884472,96180400
