Date,Close,High,Low,Open,Volume,ma_5,ma_10,ma_20,momentum,volatility,rsi,target
2015-02-02,166.7884979248047,166.87935983416344,163.43488807676155,165.24385806966035,163107000,166.233447265625,167.50717163085938,167.1908157348633,0.239471435546875,0.011050279258461873,48.509557868439195,1
2015-02-03,169.20053100585938,169.20879920391286,167.3089664338,167.68066983135327,124212900,166.58038024902345,167.73680572509767,167.31967544555664,2.2963409423828125,0.010766481767096577,55.1415061874544,0
2015-02-04,168.55618286132812,169.6465258907375,168.1018732657409,168.4405415646292,134306700,167.22796020507812,167.81775665283203,167.4947883605957,0.80950927734375,0.01055662915469916,56.06046505444248,1
2015-02-05,170.25782775878906,170.40651668099608,169.14271756005886,169.2170557191821,97953200,167.91026611328124,167.81940612792968,167.65214462280272,0.0164947509765625,0.010435215935735521,63.335866235032455,0
2015-02-06,169.78701782226562,171.1829821636841,169.26662546674098,170.6212866268706,125672000,168.9180114746094,167.86731719970703,167.63769149780273,0.4791107177734375,0.009682082593151089,57.97402827744756,0
2015-02-09,169.02706909179688,169.8613378071158,168.62231812482196,169.14271042465256,87219000,169.3657257080078,167.7995864868164,167.65338897705078,-0.67730712890625,0.00956029403095112,55.125710230936036,1
2015-02-10,170.82777404785156,171.08383610249103,169.06836204099815,170.05958788393312,96164200,169.69117431640626,168.13577728271486,167.82520294189453,3.361907958984375,0.0096425213213484,57.11033031979814,1
2015-02-11,170.9268341064453,171.35636432033186,170.0182275279404,170.6625165467923,91087800,170.1653045654297,168.6966323852539,168.02550582885743,5.608551025390625,0.009600558912863235,51.77860354778455,1
2015-02-12,172.57064819335938,172.6284751578654,170.9599252358515,171.71985574390754,97545900,170.62786865234375,169.2690673828125,168.35838775634767,5.7243499755859375,0.009614984315058224,58.16454560380608,1
2015-02-13,173.28102111816406,173.33057988581692,172.43848425618765,172.6945588956595,93670400,171.32666931152343,170.1223403930664,168.80278244018555,8.532730102539062,0.009254499264418107,58.81161484056699,1
2015-02-17,173.55360412597656,173.72707241390395,172.71933547479566,172.9671293090362,76968200,172.2319763183594,170.7988510131836,169.15301132202148,6.765106201171875,0.008923320316150396,66.60672750491585,1
2015-02-18,173.57009887695312,173.64443701478808,172.91754161207228,173.1818717963169,80652900,172.7804412841797,171.23580780029297,169.4863067626953,4.36956787109375,0.008934550303370007,75.47164301425738,0
2015-02-19,173.44619750976562,173.80964522816615,172.83495598696246,172.9753766774431,91462500,173.28431396484376,171.7248092651367,169.7712829589844,4.8900146484375,0.00892391838663766,72.306105504185,1
2015-02-20,174.48696899414062,174.56130712996128,172.41366855501633,173.0331782281016,140896400,173.667578125,172.14772338867186,169.9835647583008,4.2291412353515625,0.008442790661704551,85.4476766402147,0
2015-02-23,174.46217346191406,174.46217346191406,173.85917502776118,174.2391464711458,74411100,173.90380859375,172.61523895263673,170.24127807617188,4.6751556396484375,0.008301359285823246,82.73394032019121,1
2015-02-24,174.95779418945312,175.15604182724803,174.09047810454112,174.38784325925505,72472300,174.1846466064453,173.20831146240235,170.5039489746094,5.93072509765625,0.00830466719578698,79.35920021413943,0
2015-02-25,174.80914306640625,175.31301152317158,174.4704746962613,174.83392244920137,73061700,174.43245544433594,173.6064483642578,170.87111282348633,3.9813690185546875,0.007577789193874681,83.58493720557429,0
2015-02-26,174.60263061523438,174.87521641558922,173.99963205507456,174.7182719301766,72697900,174.6637420654297,173.97402801513672,171.3353302001953,3.6757965087890625,0.0067689104168287585,77.80125404949413,0
2015-02-27,174.0078582763672,174.76778853466683,173.95829952534078,174.5034583905861,108076000,174.567919921875,174.1177490234375,171.693408203125,1.4372100830078125,0.006721832194544547,76.58628478062377,1
2015-03-02,175.1065216064453,175.1643359693863,174.0574814403365,174.10704020970294,87491400,174.69678955078126,174.30029907226563,172.21131973266603,1.82550048828125,0.005813373877131356,86.72622657962512,0
2015-03-03,174.3878631591797,175.15606181483415,173.52881517195365,174.67697275512717,110325800,174.58280334472656,174.38372497558595,172.59128799438477,0.834259033203125,0.005587676485155196,74.74115077092745,0
2015-03-04,173.65267944335938,173.86745085276726,172.68624591289165,173.79310011661133,114497200,174.35151062011718,174.39198303222656,172.81389541625975,0.08258056640625,0.004964476701922715,67.40465199659391,1
2015-03-05,173.84275817871094,174.1235996652834,173.33888958034876,173.9749107227695,76873000,174.1995361328125,174.4316390991211,173.0782241821289,0.3965606689453125,0.004817249667142025,59.97411031113089,0
2015-03-06,171.397705078125,173.41317890386983,171.06730490510006,172.98364859577046,188128000,173.67750549316406,174.12271270751953,173.1352180480957,-3.089263916015625,0.005538505428874505,38.39141778480881,1
2015-03-09,172.10809326171875,172.46327285150772,171.43902465475077,171.59596916334027,89818900,173.07781982421875,173.8873046875,173.25127182006835,-2.3540802001953125,0.005549570483310406,41.546270500068715,0
2015-03-10,169.3160858154297,170.8276906233501,169.2747826581513,170.7450969127473,157121300,172.06346435546874,173.32313385009766,173.26572265625,-5.6417083740234375,0.006639948966506825,31.21858153945236,0
2015-03-11,168.91966247558594,169.74567549502646,168.83705613205854,169.57220721520224,110145700,171.11686096191406,172.73418579101562,173.17031707763672,-5.8894805908203125,0.006172949343159084,30.485001822226963,1
2015-03-12,171.06732177734375,171.13339173529823,169.4978892907865,169.54744806123233,93993500,170.56177368164063,172.38065490722656,173.17734146118164,-3.535308837890625,0.0068484931156349476,36.541556569781406,0
2015-03-13,170.0182647705078,171.75288458432593,168.98574847515465,170.7947190412468,162410900,170.2858856201172,171.98169555664063,173.04972229003906,-3.989593505859375,0.0065928567037047536,33.81529487866307,1
2015-03-16,172.28977966308594,172.380641590183,170.0430234693745,170.74513950639326,136099200,170.3222229003906,171.70002136230468,173.00016021728516,-2.816741943359375,0.007242124455556255,41.39606794926932,0
2015-03-17,171.77764892578125,172.15760780310515,170.96814720565243,171.5546219127697,94510400,170.81453552246094,171.43899993896486,172.9113624572754,-2.6102142333984375,0.007252827092750195,40.44783697395599,1
2015-03-18,173.84275817871094,174.51182691011795,170.6708576460239,171.30689139240684,228808500,171.79915466308594,171.4580078125,172.92499542236328,0.1900787353515625,0.007774928644929377,47.856700785117454,0
2015-03-19,173.04971313476562,173.85094670509045,172.6614860397028,173.4296846377479,117917300,172.1956329345703,171.37870330810546,172.9051712036133,-0.7930450439453125,0.007843624669712524,47.32734557954119,1
2015-03-20,174.57720947265625,175.08332706439776,173.813886863184,173.9964219067773,177715100,173.107421875,171.6966537475586,172.90968322753906,3.17950439453125,0.007983260910527203,48.55803165022634,0
2015-03-23,174.2369384765625,175.1579056577757,174.2369384765625,174.5854108342901,71784500,173.49685363769532,171.90953826904297,172.89842147827147,2.12884521484375,0.007995838079995425,49.58019145408846,0
