Date,Close,High,Low,Open,Volume
2015-01-02,169.68783569335938,170.88556456408185,168.65531949719002,170.47255808561408,121465900
2015-01-05,166.6233367919922,168.8122661140158,166.3177160273211,168.6470660413276,169632600
2015-01-06,165.05392456054688,167.44935723130908,164.26094653071848,166.9289650053605,209151400
2015-01-07,167.11070251464844,167.44937089898684,165.92950987204858,166.37555138501293,125346700
2015-01-08,170.07608032226562,170.2908517797395,168.4984049909054,168.51491617689666,147217800
2015-01-09,168.71311950683594,170.50556582461752,168.10186547890984,170.48904203900992,158567300
2015-01-12,167.39149475097656,169.00222985064968,166.78850891492957,168.84528539651083,144396100
2015-01-13,166.9207763671875,169.72921666658607,165.62392938041904,168.60583802603398,214553300
2015-01-14,165.9130096435547,166.11125734633688,164.02144498652336,164.91352813914077,192991100
2015-01-15,164.39312744140625,166.86289849504993,164.2774861138506,166.54902209394717,176613900
2015-01-16,166.5490264892578,166.70597099593076,164.0049046119339,164.18662850345416,211879600
2015-01-20,166.90419006347656,167.44936168573867,165.3430259480595,167.18503146744484,130991100
2015-01-21,167.74667358398438,168.22576249946007,165.97900677362105,166.44157190471358,122942700
2015-01-22,170.2413330078125,170.37348554658226,167.12725957849614,168.49844457542144,174356000
2015-01-23,169.3079071044922,170.24130594621263,169.1757419827697,169.9852312963904,117516800
2015-01-26,169.70437622070312,169.79523815908667,168.3827629216211,169.09313463881273,92009700
2015-01-27,167.4658660888672,168.60575536241527,166.63985315825929,167.655845533799,134044600
2015-01-28,165.3182830810547,168.7462328554921,165.12830357216745,168.64711530371815,168514300
2015-01-29,166.84629821777344,167.10236012034943,164.11218578342135,165.51641735901677,173585400
2015-01-30,164.748291015625,166.99504739330268,164.48397340858196,165.67343415017112,197729700
2015-02-02,166.7884979248047,166.87935983416344,163.43488807676155,165.24385806966035,163107000
2015-02-03,169.20053100585938,169.20879920391286,167.3089664338,167.68066983135327,124212900
2015-02-04,168.55618286132812,169.6465258907375,168.1018732657409,168.4405415646292,134306700
2015-02-05,170.25782775878906,170.40651668099608,169.14271756005886,169.2170557191821,97953200
2015-02-06,169.78701782226562,171.1829821636841,169.26662546674098,170.6212866268706,125672000
2015-02-09,169.02706909179688,169.8613378071158,168.62231812482196,169.14271042465256,87219000
2015-02-10,170.82777404785156,171.08383610249103,169.06836204099815,170.05958788393312,96164200
2015-02-11,170.9268341064453,171.35636432033186,170.0182275279404,170.6625165467923,91087800
2015-02-12,172.57064819335938,172.6284751578654,170.9599252358515,171.71985574390754,97545900
2015-02-13,173.28102111816406,173.33057988581692,172.43848425618765,172.6945588956595,93670400
2015-02-17,173.55360412597656,173.72707241390395,172.71933547479566,172.9671293090362,76968200
2015-02-18,173.57009887695312,173.64443701478808,172.91754161207228,173.1818717963169,80652900
2015-02-19,173.44619750976562,173.80964522816615,172.83495598696246,172.9753766774431,91462500
2015-02-20,174.48696899414062,174.56130712996128,172.41366855501633,173.0331782281016,140896400
2015-02-23,174.46217346191406,174.46217346191406,173.85917502776118,174.2391464711458,74411100
2015-02-24,174.95779418945312,175.15604182724803,174.09047810454112,174.38784325925505,72472300
2015-02-25,174.80914306640625,175.31301152317158,174.4704746962613,174.83392244920137,73061700
2015-02-26,174.60263061523438,174.87521641558922,173.99963205507456,174.7182719301766,72697900
2015-02-27,174.0078582763672,174.76778853466683,173.95829952534078,174.5034583905861,108076000
2015-03-02,175.1065216064453,175.1643359693863,174.0574814403365,174.10704020970294,87491400
2015-03-03,174.3878631591797,175.15606181483415,173.52881517195365,174.67697275512717,110325800
2015-03-04,173.65267944335938,173.86745085276726,172.68624591289165,173.79310011661133,114497200
2015-03-05,173.84275817871094,174.1235996652834,173.33888958034876,173.97491072276947,76873000
2015-03-06,171.397705078125,173.41317890386983,171.06730490510006,172.98364859577046,188128000
2015-03-09,172.10809326171875,172.46327285150772,171.43902465475077,171.59596916334027,89818900
2015-03-10,169.3160858154297,170.8276906233501,169.2747826581513,170.7450969127473,157121300
2015-03-11,168.91966247558594,169.74567549502646,168.83705613205854,169.57220721520224,110145700
2015-03-12,171.06732177734375,171.13339173529823,169.4978892907865,169.54744806123233,93993500
2015-03-13,170.0182647705078,171.75288458432593,168.98574847515465,170.7947190412468,162410900
2015-03-16,172.28977966308594,172.380641590183,170.0430234693745,170.74513950639326,136099200
2015-03-17,171.77764892578125,172.15760780310515,170.96814720565243,171.5546219127697,94510400
2015-03-18,173.84275817871094,174.51182691011797,170.6708576460239,171.30689139240684,228808500
2015-03-19,173.04971313476562,173.85094670509045,172.6614860397028,173.4296846377479,117917300
2015-03-20,174.57720947265625,175.08332706439776,173.813886863184,173.9964219067773,177715100
2015-03-23,174.2369384765625,175.1579056577757,174.2369384765625,174.5854108342901,71784500
2015-03-24,173.25799560546875,174.56891073329592,173.1916180726312,174.112585767895,77805300
2015-03-25,170.71910095214844,173.69773415857858,170.6776260721813,173.46541912579568,159521700
2015-03-26,170.31256103515625,171.22522364528578,169.358398223387,170.0553560026632,153067200
2015-03-27,170.7025146484375,170.8767445914697,170.00555689564965,170.1963970468826,118939000
2015-03-30,172.78509521484375,173.08378784263246,171.71478735039733,171.73137224178052,96180400
